"PMID","ncol","nrow","nwithbatch","deceased"
"",103,359,0,57
"15897565",63,12948,63,0
"16996261",54,12655,0,0
"17290060",117,12948,0,67
"18593951",195,12948,195,129
"18698038",285,19013,285,113
"19192944",157,20325,0,113
"19294737",80,12948,80,21
"19318476",42,12948,42,22
"19440550",99,12948,99,0
"19486012",53,16827,0,0
"19962670",63,19013,63,41
"20300634",110,19264,0,46
"20492709",140,19013,140,0
"20547991",28,19013,28,17
"20547991",42,8947,42,23
"21720365",578,12948,578,290
"22241791",40,19264,0,22
"22241791",260,19264,0,121
"22348002",129,10324,0,73
"EXPO project, PMID unknown",204,19013,204,0
"PMID unknown",66,5228,66,0
